RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1063,EPA,1/8/2017,VILLAGE GARAGE,41.670992,-87.732457,4.920833333
1064,EPA,1/9/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,10.87916667
1065,EPA,1/9/2017,LIBERTY SCHOOL,41.864426,-87.748902,13.67692308
1066,EPA,1/9/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,14.65833333
1067,EPA,1/9/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,15.375
1068,EPA,1/9/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,15.22916667
1069,EPA,1/9/2017,VILLAGE GARAGE,41.670992,-87.732457,9.525
1070,EPA,1/10/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,8.377272727
1071,EPA,1/10/2017,GRAVES ES,41.782766,-87.805377,6.1
1072,EPA,1/10/2017,IEPA TRAILER,41.965193,-87.876265,
1073,EPA,1/10/2017,LIBERTY SCHOOL,41.864426,-87.748902,11.3
1074,EPA,1/10/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,7.2
1075,EPA,1/10/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,10.28333333
1076,EPA,1/10/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,12.51666667
1077,EPA,1/10/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,10.06666667
1078,EPA,1/10/2017,VILLAGE GARAGE,41.670992,-87.732457,9.216666667
1079,EPA,1/10/2017,VILLAGE HALL,41.80118,-87.832349,
1080,EPA,1/10/2017,WASHINGTON HS,41.687165,-87.539315,6.7
1081,EPA,1/11/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,11.208
1082,EPA,1/11/2017,LIBERTY SCHOOL,41.864426,-87.748902,14.80833333
1083,EPA,1/11/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,13.50416667
1084,EPA,1/11/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,17.54583333
1085,EPA,1/11/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,13.97916667
1086,EPA,1/11/2017,VILLAGE GARAGE,41.670992,-87.732457,9.3375
1087,EPA,1/12/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,9.8125
1088,EPA,1/12/2017,LIBERTY SCHOOL,41.864426,-87.748902,9.845833333
1089,EPA,1/12/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,8.358333333
1090,EPA,1/12/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,7.142857143
1091,EPA,1/12/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,8.495833333
1092,EPA,1/12/2017,VILLAGE GARAGE,41.670992,-87.732457,7.283333333
1093,EPA,1/13/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,7.844
1094,EPA,1/13/2017,GRAVES ES,41.782766,-87.805377,8.5
1095,EPA,1/13/2017,IEPA TRAILER,41.965193,-87.876265,9.7
1096,EPA,1/13/2017,LIBERTY SCHOOL,41.864426,-87.748902,10.64
1097,EPA,1/13/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,7.7
1098,EPA,1/13/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,9.044
1099,EPA,1/13/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,10.24166667
1100,EPA,1/13/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.716
1101,EPA,1/13/2017,VILLAGE GARAGE,41.670992,-87.732457,7.176
1102,EPA,1/13/2017,VILLAGE HALL,41.80118,-87.832349,
1103,EPA,1/13/2017,WASHINGTON HS,41.687165,-87.539315,6.1
1104,EPA,1/14/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,20.00833333
1105,EPA,1/14/2017,LIBERTY SCHOOL,41.864426,-87.748902,17.6875
1106,EPA,1/14/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,17.325
1107,EPA,1/14/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,16.38333333
1108,EPA,1/14/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,18.64166667
1109,EPA,1/14/2017,VILLAGE GARAGE,41.670992,-87.732457,14.37083333
1110,EPA,1/15/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,33.85
1111,EPA,1/15/2017,LIBERTY SCHOOL,41.864426,-87.748902,28.47083333
1112,EPA,1/15/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,35.9125
1113,EPA,1/15/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,35.87916667
1114,EPA,1/15/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,32.6625
1115,EPA,1/15/2017,VILLAGE GARAGE,41.670992,-87.732457,23.37916667
1116,EPA,1/16/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,24.82916667
1117,EPA,1/16/2017,GRAVES ES,41.782766,-87.805377,26.5
1118,EPA,1/16/2017,IEPA TRAILER,41.965193,-87.876265,23.5
1119,EPA,1/16/2017,LIBERTY SCHOOL,41.864426,-87.748902,23.05416667
1120,EPA,1/16/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,23.9
1121,EPA,1/16/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,23.71666667
1122,EPA,1/16/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,25.70416667
1123,EPA,1/16/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,26.15416667
1124,EPA,1/16/2017,VILLAGE GARAGE,41.670992,-87.732457,17.33333333
1125,EPA,1/16/2017,VILLAGE HALL,41.80118,-87.832349,
1126,EPA,1/16/2017,WASHINGTON HS,41.687165,-87.539315,
1127,EPA,1/17/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,8.5375
1128,EPA,1/17/2017,LIBERTY SCHOOL,41.864426,-87.748902,11.09166667
1129,EPA,1/17/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,6.741666667
1130,EPA,1/17/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,8.55
1131,EPA,1/17/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,9.7875
1132,EPA,1/17/2017,VILLAGE GARAGE,41.670992,-87.732457,6.7
